iter	Passed	Remaining
458	804	947
459	805	945
460	806	943
461	811	944
462	815	945
463	816	943
464	817	940
465	818	938
466	823	939
467	825	938
468	829	939
469	830	936
470	831	934
471	832	931
472	833	928
473	834	926
474	838	927
475	842	926
476	843	925
477	844	922
478	845	920
479	846	917
480	847	914
481	848	912
482	851	911
483	856	912
484	857	910
485	858	908
486	859	905
487	860	902
488	861	900
489	862	897
490	863	894
491	863	891
492	868	892
493	871	892
494	872	890
495	873	888
496	874	885
497	875	882
498	876	880
499	877	877
500	878	874
501	880	873
502	882	872
503	886	872
504	887	870
505	888	867
506	890	865
507	891	863
508	892	860
509	893	858
510	895	856
511	899	857
512	902	856
513	903	854
514	906	854
515	907	851
516	908	849
517	911	848
518	913	846
519	916	845
520	917	843
521	918	841
522	919	838
523	920	836
524	921	833
525	922	831
526	924	830
527	926	828
528	929	828
529	931	825
530	932	823
531	933	820
532	933	818
533	934	815
534	935	813
535	936	810
536	937	808
537	939	806
538	941	805
539	944	804
540	945	802
541	946	799
542	947	797
543	947	794
544	948	792
545	949	789
546	950	787
547	951	784
548	952	782
549	957	783
550	960	782
551	961	780
552	962	777
553	963	775
554	964	773
555	965	770
556	966	768
557	967	766
558	969	764
559	971	763
560	972	761
561	973	759
562	974	756
563	975	754
564	976	752
565	977	749
566	978	747
567	979	745
568	980	742
569	982	741
570	984	740
571	987	739
572	989	737
573	990	734
574	991	732
575	992	730
576	993	728
577	994	725
578	994	723
579	995	721
580	998	719
581	1001	719
582	1003	717
583	1004	715
584	1005	713
585	1006	711
586	1007	709
587	1008	706
588	1009	704
589	1012	703
590	1014	702
591	1017	701
592	1020	700
593	1021	698
594	1022	695
595	1023	693
596	1028	694
597	1031	693
598	1033	691
599	1034	689
600	1036	687
601	1037	685
602	1038	683
603	1040	682
604	1042	680
605	1046	680
606	1048	678
607	1050	677
608	1051	675
609	1052	672
610	1053	670
611	1056	669
612	1059	668
613	1061	667
614	1062	665
615	1064	663
616	1065	661
617	1066	658
618	1067	656
619	1068	654
620	1070	653
621	1073	652
622	1075	651
623	1077	649
624	1078	647
625	1079	645
626	1080	643
627	1082	641
628	1083	639
629	1085	637
630	1088	636
631	1090	635
632	1091	632
633	1092	630
634	1093	628
635	1095	627
636	1106	630
637	1108	628
638	1109	626
639	1110	624
640	1112	622
641	1114	621
642	1116	619
643	1120	619
644	1121	617
645	1122	615
646	1123	613
647	1125	611
648	1125	608
649	1126	606
650	1128	605
651	1130	603
652	1133	602
653	1134	600
654	1135	598
655	1136	596
656	1137	594
657	1139	592
658	1139	589
659	1140	587
660	1142	585
661	1145	584
662	1149	584
663	1151	582
664	1152	580
665	1154	578
666	1155	576
667	1156	574
668	1160	574
669	1164	573
670	1166	571
671	1167	569
672	1168	567
673	1170	565
674	1171	563
675	1174	562
676	1178	562
677	1179	560
678	1180	558
679	1183	556
680	1184	555
681	1187	553
682	1189	552
683	1192	550
684	1193	549
685	1195	547
686	1196	545
687	1197	543
688	1198	540
689	1200	539
690	1205	539
691	1206	537
692	1207	535
693	1209	533
694	1211	531
695	1212	529
696	1213	527
697	1218	527
698	1221	526
699	1223	524
700	1224	522
701	1225	520
702	1226	518
703	1227	516
704	1228	514
705	1234	514
706	1237	512
707	1239	511
708	1240	509
709	1241	506
710	1242	504
711	1242	502
712	1243	500
713	1245	498
714	1248	497
715	1252	496
716	1253	494
717	1254	492
718	1255	490
719	1256	488
720	1256	486
721	1257	484
722	1258	482
723	1267	483
724	1268	481
725	1269	479
726	1270	477
727	1271	475
728	1272	473
729	1274	471
730	1283	472
731	1284	470
732	1286	468
733	1287	466
734	1288	464
735	1298	465
736	1299	463
737	1300	461
738	1301	459
739	1302	457
740	1303	455
741	1304	453
742	1306	451
743	1309	450
744	1312	449
745	1314	447
746	1314	445
747	1315	443
748	1316	441
749	1317	439
750	1318	437
751	1318	434
752	1319	432
753	1321	431
754	1323	429
755	1325	427
756	1327	426
757	1328	424
758	1329	422
759	1330	420
760	1331	418
761	1332	416
762	1333	414
763	1333	412
764	1335	410
765	1336	408
766	1340	407
767	1341	405
768	1343	403
769	1343	401
770	1344	399
771	1345	397
772	1346	395
773	1347	393
774	1348	391
775	1351	390
776	1353	388
777	1355	386
778	1357	385
779	1358	383
780	1358	381
781	1359	379
782	1360	377
783	1361	375
784	1362	373
785	1363	371
786	1364	369
787	1365	367
788	1367	365
789	1370	364
790	1371	362
791	1372	360
792	1373	358
793	1374	356
794	1375	354
795	1376	352
796	1377	350
797	1378	349
798	1384	348
799	1385	346
800	1386	344
801	1387	342
802	1388	340
803	1389	338
804	1390	336
805	1391	334
806	1391	332
807	1393	331
808	1396	329
809	1398	328
810	1399	326
811	1400	324
812	1401	322
813	1402	320
814	1403	318
815	1404	316
816	1405	314
817	1408	313
818	1411	311
819	1414	310
820	1415	308
821	1417	306
822	1419	305
823	1420	303
824	1421	301
825	1423	299
826	1425	298
827	1428	296
828	1430	295
829	1431	293
830	1432	291
831	1433	289
832	1434	287
833	1434	285
834	1436	283
835	1439	282
836	1442	280
837	1443	279
838	1444	277
839	1445	275
840	1446	273
841	1447	271
842	1448	269
843	1449	267
844	1451	266
845	1455	265
846	1459	263
847	1460	261
848	1461	259
849	1462	258
850	1463	256
851	1464	254
852	1465	252
853	1467	250
854	1469	249
855	1472	247
856	1474	245
857	1474	244
858	1476	242
859	1477	240
860	1477	238
